0	381,651
1	22,42
2	134,412
3	556,860
4	453,343
5	719,975
6	381,859
7	853,14
8	703,39
9	930,26
10	28,166
11	350,780
12	549,746
13	907,278
14	108,713
15	75,185
16	530,637
17	849,824
18	763,41
19	503,369
20	217,452
21	866,697
22	409,279
23	305,48
24	837,91
25	889,784
26	401,525
27	614,581
28	252,761
29	799,527
30	805,249
31	443,964
32	527,956
33	610,13
34	561,937
35	386,116
36	323,68
37	175,812
38	80,177
39	217,970
40	746,944
41	896,822
42	987,448
43	655,814
44	32,671
45	613,388
46	102,806
47	45,768
48	783,136
49	436,590
50	864,3
51	488,902
52	267,549
53	381,653
54	35,506
55	508,688
56	585,594
57	676,519
58	688,889
59	645,675
60	270,625
61	472,101
62	862,902
63	640,941
64	167,735
65	653,467
66	460,339
67	316,38
68	777,898
69	685,618
70	839,448
71	826,172
72	65,174
73	833,709
74	447,74
75	282,435
76	509,76
77	95,94
78	1000,634
79	172,132
80	779,994
81	519,724
82	529,409
83	497,388
84	172,735
85	895,77
86	927,518
87	151,264
88	712,980
89	134,364
90	82,331
91	56,464
92	579,773
93	443,756
94	989,256
95	716,348
96	696,672
97	289,174
98	929,800
99	65,720
100	873,722
101	515,11
102	688,557
103	268,628
104	611,683
105	675,74
106	77,552
107	908,662
108	300,283
109	707,205
110	154,552
111	923,872
112	182,605
113	303,902
114	388,235
115	655,221
116	556,906
117	972,571
118	240,339
119	271,38
120	436,125
121	224,506
122	295,48
123	584,240
124	570,660
125	146,661
126	531,791
127	101,948
128	176,498
129	65,192
130	443,330
131	946,182
132	839,943
133	781,186
134	320,672
135	65,683
136	379,83
137	263,8
138	208,273
139	4,845
140	61,545
141	501,963
142	610,679
143	362,141
144	162,290
145	878,100
146	699,14
147	768,887
148	953,473
149	318,467
150	325,419
151	565,707
152	537,717
153	940,495
154	318,367
155	627,475
156	717,583
157	104,316
158	66,881
159	577,761
160	314,81
161	821,314
162	149,56
163	496,632
164	439,846
165	551,640
166	494,961
167	358,989
168	418,100
169	974,428
170	704,171
171	122,747
172	406,660
173	93,484
174	337,659
175	597,904
176	793,480
177	661,952
178	650,403
179	311,654
180	409,283
181	713,252
182	269,58
183	344,205
184	286,24
185	325,24
186	591,347
187	825,543
188	856,549
189	2,527
190	266,79
191	761,260
192	401,474
193	353,401
194	933,823
195	913,368
196	458,708
197	922,601
198	472,673
199	733,95
200	867,495
201	156,566
202	179,654
203	110,34
204	82,377
205	571,638
206	232,647
207	914,532
208	366,647
209	280,598
210	652,686
211	941,568
212	666,250
213	839,185
214	647,904
215	343,832
216	628,516
217	840,530
218	325,458
219	331,438
220	782,330
221	391,750
222	564,248
223	802,500
224	976,877
225	545,811
226	140,27
227	324,163
228	830,895
229	481,971
230	467,270
